# C-280b Sym²(11a1) A_bare gap_min Spearman (precision=38 fix)
n_zeros=100, n_inner=96

rho_S(A_bare, gap_min_GUE)  = -0.491766  p=3.6157e-07
rho_S(A_bare, gap_right_GUE)= 0.010662  p=9.1788e-01
rho_S(A_L,    gap_min_GUE)  = -0.421582  p=1.8884e-05
rho_S(A_L,    gap_right_GUE)= -0.132569  p=1.9789e-01
2H1/A_bare = 0.771157
2H1/A_L    = 0.747914
mean_A_bare = 149.7373
mean_A_L    = 152.0437
mean_Bsmooth = 2.172549
GUE_ref_rho_S = -0.857
arithmetic_damping = 0.3652

### 개별 데이터
t,A_bare,A_L,gap_min_gue,gap_right_gue,sm_im
4.023562,101.766241,130.468469,0.891218,0.891218,1.711663
4.363655,77.769228,101.355038,0.849183,1.150817,1.756959
4.824551,128.725242,163.003396,0.738189,0.738189,1.809460
5.094186,91.010246,113.127023,0.942855,1.057145,1.836271
5.396506,52.747654,66.697956,0.641195,1.358805,1.863467
6.037174,107.581781,142.727252,0.684182,0.684182,1.912866
6.370300,91.193895,119.504040,0.962399,1.037601,1.934922
6.729457,106.671222,136.905470,0.864867,0.864867,1.956420
7.003102,73.471330,91.751206,0.855838,1.144162,1.971410
7.368934,57.243393,76.285096,0.877362,1.122638,1.989809
7.837040,81.900909,110.522560,0.833167,0.833167,2.010973
8.171286,67.434597,89.486059,0.908863,1.091137,2.024669
8.572566,73.137046,98.819951,0.999255,1.000745,2.039761
8.974444,160.414003,198.562128,0.622531,0.622531,2.053575
9.156069,89.920887,93.798693,0.556630,1.443370,2.059434
9.627030,68.092402,92.357513,0.860978,0.860978,2.073632
9.983026,65.416363,86.999650,0.950035,1.049965,2.083503
10.376467,90.092866,118.041962,0.864932,0.864932,2.093647
10.676272,137.989871,166.401685,0.736419,0.736419,2.100889
10.851000,100.552132,92.330309,0.319450,1.680550,2.104930
11.770200,368.166661,436.736774,0.270088,0.270088,2.124256
11.913713,230.156901,259.056404,0.921295,1.078705,2.127010
12.081746,145.278145,153.352514,0.753042,1.246958,2.130154
12.359991,421.948171,467.544744,0.469830,0.469830,2.135174
12.445425,454.093333,408.403168,0.220326,1.779674,2.136672
13.135511,66.325996,92.371683,0.715521,0.715521,2.148066
13.519924,112.746023,145.578751,0.816718,0.816718,2.153918
13.785252,150.434785,180.791033,0.835858,0.835858,2.157769
13.975758,129.679321,138.975539,0.943556,1.056444,2.160446
14.189057,93.559228,87.747414,0.664191,1.335809,2.163359
14.618040,73.158105,90.989559,0.763709,0.763709,2.168964
14.883040,62.928864,66.871990,0.775731,1.224269,2.172267
15.301268,63.832392,81.508559,0.874051,0.874051,2.177250
15.625930,81.140075,99.055628,0.899108,0.899108,2.180937
15.891085,79.341660,88.268127,0.979055,1.020945,2.183837
