t2,C_val,N_actual
17.495798,0.998075,1
24.487395,1.994575,2
27.983193,2.992539,3
31.478992,3.990265,4
34.974790,4.987707,5
38.470588,5.984810,6
41.966387,6.981497,7
45.462185,7.977674,8
48.957983,8.977732,9
52.453782,9.977780,10
62.941176,13.977882,14
66.436975,14.977907,15
73.428571,17.977948,18
80.420168,20.977981,21
83.915966,21.977994,22
90.907563,24.978018,25
97.899160,27.978038,28
104.890756,30.978055,31
108.386555,32.978063,33
115.378151,35.978076,36
122.369748,38.978088,39
125.865546,40.978093,41
132.857143,43.978103,44
136.352941,45.978107,46
146.840336,50.978119,51
153.831933,54.978126,55
164.319328,59.978135,60
167.815126,61.978138,62
171.310924,63.978141,64
188.789916,72.978152,73
195.781513,76.978156,77
199.277311,78.978158,79
206.268908,82.978162,83
216.756303,88.978167,89
230.739496,95.978173,96
234.235294,98.978174,99
244.722689,104.978178,105
251.714286,108.978180,109
262.201681,114.978183,115
269.193277,118.978185,119
272.689076,120.978186,121
290.168067,131.978191,132
297.159664,135.978193,136
300.655462,137.978193,138
304.151261,139.978194,140
314.638655,146.978196,147
332.117647,157.978200,158
335.613445,159.978200,160
339.109244,161.978201,162
342.605042,164.978202,165
356.588235,172.978204,173
367.075630,179.978205,180
370.571429,182.978206,183
377.563025,186.978207,187
388.050420,193.978208,194
395.042017,197.978209,198
398.537815,200.978210,201
412.521008,209.978211,210
416.016807,212.978212,213
423.008403,216.978213,217
426.504202,218.978213,219
