func,direction,k,rho,p,partial_rho,n_used
ζ,forward,0,-0.031510,6.3229e-01,nan,233
ζ,forward,1,-0.657976,3.6984e-30,-0.668200,232
ζ,forward,2,0.068006,3.0339e-01,0.071296,231
ζ,forward,3,0.113461,8.5999e-02,0.121067,230
ζ,forward,4,0.057110,3.8967e-01,0.065420,229
ζ,forward,5,0.002594,9.6893e-01,0.009348,228
ζ,forward,6,-0.043898,5.1050e-01,-0.036667,227
ζ,forward,7,-0.134713,4.3054e-02,-0.130810,226
ζ,forward,8,-0.161205,1.5501e-02,-0.158984,225
ζ,forward,9,0.064973,3.3304e-01,0.065875,224
ζ,forward,10,0.209310,1.6723e-03,0.222242,223
ζ,backward,1,0.575503,5.9894e-22,0.578102,233
ζ,backward,2,-0.110462,9.3239e-02,-0.108761,232
ζ,backward,3,-0.161413,1.4046e-02,-0.160447,231
ζ,backward,4,-0.118733,7.2299e-02,-0.117452,230
ζ,backward,5,-0.043567,5.1183e-01,-0.041334,229
ζ,backward,6,-0.020085,7.6293e-01,-0.017062,228
ζ,backward,7,0.076441,2.5137e-01,0.081425,227
ζ,backward,8,0.131896,4.7648e-02,0.134814,226
ζ,backward,9,-0.125725,5.9721e-02,-0.125371,225
ζ,backward,10,-0.202199,2.3596e-03,-0.206063,224
χ₃ (mod 3),forward,0,-0.044854,6.3864e-01,nan,112
χ₃ (mod 3),forward,1,-0.554932,2.6129e-10,-0.563780,111
χ₃ (mod 3),forward,2,-0.062660,5.1549e-01,-0.056516,110
χ₃ (mod 3),forward,3,-0.063099,5.1451e-01,-0.061036,109
χ₃ (mod 3),forward,4,0.291997,2.1671e-03,0.296956,108
χ₃ (mod 3),forward,5,0.214121,2.6786e-02,0.242182,107
χ₃ (mod 3),forward,6,-0.142414,1.4531e-01,-0.139405,106
χ₃ (mod 3),forward,7,-0.268547,5.6071e-03,-0.267883,105
χ₃ (mod 3),forward,8,-0.119332,2.2760e-01,-0.118171,104
χ₃ (mod 3),forward,9,0.018407,8.5358e-01,0.020105,103
χ₃ (mod 3),forward,10,0.180089,7.0104e-02,0.183512,102
χ₃ (mod 3),backward,1,0.503895,1.4814e-08,0.504861,112
χ₃ (mod 3),backward,2,0.018419,8.4784e-01,0.023988,111
χ₃ (mod 3),backward,3,0.024385,8.0037e-01,0.026147,110
χ₃ (mod 3),backward,4,-0.324428,5.7816e-04,-0.325045,109
χ₃ (mod 3),backward,5,-0.225280,1.9070e-02,-0.237867,108
χ₃ (mod 3),backward,6,0.081271,4.0531e-01,0.091096,107
χ₃ (mod 3),backward,7,0.198892,4.0963e-02,0.204970,106
χ₃ (mod 3),backward,8,0.105038,2.8625e-01,0.105934,105
χ₃ (mod 3),backward,9,-0.030759,7.5659e-01,-0.030510,104
χ₃ (mod 3),backward,10,-0.184774,6.1695e-02,-0.185483,103
χ₄ (mod 4),forward,0,-0.016341,8.5939e-01,nan,120
χ₄ (mod 4),forward,1,-0.608289,2.1756e-13,-0.628463,119
χ₄ (mod 4),forward,2,0.295936,1.1392e-03,0.302478,118
χ₄ (mod 4),forward,3,0.148698,1.0959e-01,0.160379,117
χ₄ (mod 4),forward,4,-0.075308,4.2171e-01,-0.072826,116
χ₄ (mod 4),forward,5,-0.211150,2.3501e-02,-0.212802,115
χ₄ (mod 4),forward,6,-0.040530,6.6854e-01,-0.038742,114
χ₄ (mod 4),forward,7,0.206551,2.8165e-02,0.215232,113
χ₄ (mod 4),forward,8,0.021654,8.2072e-01,0.027252,112
χ₄ (mod 4),forward,9,-0.240409,1.1035e-02,-0.241366,111
χ₄ (mod 4),forward,10,-0.033447,7.2868e-01,-0.032923,110
χ₄ (mod 4),backward,1,0.588083,1.6382e-12,0.602157,120
χ₄ (mod 4),backward,2,-0.309678,6.0988e-04,-0.314097,119
χ₄ (mod 4),backward,3,-0.173644,6.0042e-02,-0.178827,118
χ₄ (mod 4),backward,4,0.032887,7.2484e-01,0.034607,117
χ₄ (mod 4),backward,5,0.195341,3.5607e-02,0.200249,116
χ₄ (mod 4),backward,6,0.012010,8.9863e-01,0.012118,115
χ₄ (mod 4),backward,7,-0.186124,4.7398e-02,-0.189692,114
χ₄ (mod 4),backward,8,-0.060067,5.2739e-01,-0.060902,113
χ₄ (mod 4),backward,9,0.236375,1.2102e-02,0.242150,112
χ₄ (mod 4),backward,10,0.024991,7.9459e-01,0.025064,111
χ₅ (mod 5),forward,0,-0.013352,8.8156e-01,nan,127
χ₅ (mod 5),forward,1,-0.606341,5.3122e-14,-0.611179,126
χ₅ (mod 5),forward,2,-0.055447,5.3911e-01,-0.054818,125
χ₅ (mod 5),forward,3,0.127295,1.5887e-01,0.127782,124
χ₅ (mod 5),forward,4,0.158246,8.0438e-02,0.162915,123
χ₅ (mod 5),forward,5,-0.001285,9.8879e-01,-0.000595,122
χ₅ (mod 5),forward,6,0.020031,8.2737e-01,0.021757,121
χ₅ (mod 5),forward,7,0.077311,4.0131e-01,0.084416,120
χ₅ (mod 5),forward,8,-0.118096,2.0084e-01,-0.117805,119
χ₅ (mod 5),forward,9,-0.158232,8.7018e-02,-0.160468,118
χ₅ (mod 5),forward,10,-0.064455,4.8993e-01,-0.064825,117
χ₅ (mod 5),backward,1,0.602427,6.7471e-14,0.604023,127
χ₅ (mod 5),backward,2,0.075774,3.9907e-01,0.077397,126
χ₅ (mod 5),backward,3,-0.116909,1.9415e-01,-0.116271,125
χ₅ (mod 5),backward,4,-0.190817,3.3765e-02,-0.191685,124
χ₅ (mod 5),backward,5,0.008616,9.2465e-01,0.010794,123
χ₅ (mod 5),backward,6,-0.043259,6.3613e-01,-0.043099,122
χ₅ (mod 5),backward,7,-0.063663,4.8785e-01,-0.064095,121
χ₅ (mod 5),backward,8,0.116223,2.0618e-01,0.119688,120
χ₅ (mod 5),backward,9,0.105833,2.5199e-01,0.109009,119
χ₅ (mod 5),backward,10,0.095760,3.0230e-01,0.096263,118
