sigma,rho_sigma
1.020100502512562846e-01,-6.661338147750939243e-16
1.060301507537688426e-01,4.440892098500626162e-16
1.100502512562814145e-01,0.000000000000000000e+00
1.140703517587939864e-01,2.220446049250313081e-16
1.180904522613065444e-01,2.220446049250313081e-16
1.221105527638191024e-01,-2.220446049250313081e-16
1.261306532663316604e-01,-4.440892098500626162e-16
1.301507537688442184e-01,8.881784197001252323e-16
1.341708542713567764e-01,-2.220446049250313081e-16
1.381909547738693622e-01,-6.661338147750939243e-16
1.422110552763819202e-01,8.881784197001252323e-16
1.462311557788944782e-01,-1.110223024625156540e-15
1.502512562814070640e-01,6.661338147750939243e-16
1.542713567839196220e-01,-2.220446049250313081e-16
1.582914572864321801e-01,0.000000000000000000e+00
1.623115577889447381e-01,4.440892098500626162e-16
1.663316582914572961e-01,-6.661338147750939243e-16
1.703517587939698541e-01,0.000000000000000000e+00
1.743718592964824121e-01,0.000000000000000000e+00
1.783919597989949701e-01,4.440892098500626162e-16
1.824120603015075559e-01,-4.440892098500626162e-16
1.864321608040201139e-01,6.661338147750939243e-16
1.904522613065326997e-01,-2.220446049250313081e-16
1.944723618090452577e-01,-2.220446049250313081e-16
1.984924623115578157e-01,-4.440892098500626162e-16
2.025125628140703737e-01,1.110223024625156540e-15
2.065326633165829318e-01,-1.110223024625156540e-15
2.105527638190954898e-01,6.661338147750939243e-16
2.145728643216080478e-01,-4.440892098500626162e-16
2.185929648241206058e-01,4.440892098500626162e-16
2.226130653266331638e-01,-6.661338147750939243e-16
2.266331658291457496e-01,6.661338147750939243e-16
2.306532663316583076e-01,0.000000000000000000e+00
2.346733668341708656e-01,2.220446049250313081e-16
2.386934673366834514e-01,-4.440892098500626162e-16
2.427135678391960094e-01,4.440892098500626162e-16
2.467336683417085674e-01,2.220446049250313081e-16
2.507537688442211254e-01,-6.661338147750939243e-16
2.547738693467336835e-01,-2.220446049250313081e-16
2.587939698492462415e-01,0.000000000000000000e+00
2.628140703517587995e-01,6.661338147750939243e-16
2.668341708542713575e-01,-8.881784197001252323e-16
2.708542713567839155e-01,0.000000000000000000e+00
2.748743718592964735e-01,4.440892098500626162e-16
2.788944723618090316e-01,-2.220446049250313081e-16
2.829145728643216451e-01,2.220446049250313081e-16
2.869346733668342031e-01,0.000000000000000000e+00
2.909547738693467611e-01,-4.440892098500626162e-16
