# C-278 ζ(s) A_bare gap_min Spearman ρ_S 통합 재측정
# T=[10.0,600.0], CENTER=0.5, mu=[0], N_cond=1
# n_all_zeros=341, n_in_range=341, n_valid=337
# same-side zeros only (GL(d)와 동일 방법론)

## 핵심 결과
rho_S(A_bare, gap_min_GUE)  = -0.448420  p=4.4843e-18
rho_S(A_bare, gap_right_GUE)= -0.136308  p=1.2256e-02
rho_S(A_L,    gap_min_GUE)  = -0.437080  p=3.7251e-17
rho_S(A_L,    gap_right_GUE)= -0.326123  p=8.6208e-10

## 보조 통계
n_valid = 337
2H1/A_bare_mean = 0.739385
2H1/A_L_mean    = 0.665627
mean_A_bare     = 5.2407
mean_A_L        = 5.8800
mean_Bsmooth    = 0.786523
mean_gap_min_GUE = 0.741445
GUE_ref_rho_S   = -0.857
arithmetic_damping = 0.4086

## 개별 데이터 (t, A_bare, A_L, gap_min_GUE, gap_right_GUE, B_smooth)
t,A_bare,A_L,gap_min_gue,gap_right_gue,sm_im
25.010858,3.381417,6.803636,0.848429,1.151571,0.795398
30.424876,4.794632,8.700648,0.633549,0.633549,0.793617
32.935062,2.969842,6.055942,0.701042,1.298958,0.792991
37.586178,4.007152,7.608441,0.834841,0.834841,0.792051
40.918719,4.207837,7.788105,0.839017,0.839017,0.791509
43.327073,2.742952,5.643079,0.679709,1.320291,0.791169
48.005151,5.609485,9.628045,0.548704,0.548704,0.790607
49.773832,2.933771,5.707570,0.712435,1.287565,0.790421
52.970321,3.101412,6.194449,0.958121,1.041879,0.790118
56.446248,3.854567,7.270124,0.909808,0.909808,0.789828
59.347044,5.389613,9.150203,0.677106,0.677106,0.789611
60.831779,2.355299,4.550367,0.515041,1.484959,0.789508
65.112544,4.835350,8.550364,0.629724,0.629724,0.789238
67.079811,3.338822,6.276522,0.887384,1.112616,0.789125
69.546402,3.131204,6.049486,0.989140,1.010860,0.788993
72.067158,2.704947,5.471971,0.818655,1.181345,0.788867
75.704691,6.038469,10.000910,0.567247,0.567247,0.788701
77.144840,3.190877,5.702233,0.792884,1.207116,0.788639
79.337375,2.349074,4.778719,0.760565,1.239435,0.788549
82.910381,4.604671,8.141235,0.676203,0.676203,0.788414
84.735493,3.041945,5.733091,0.808485,1.191515,0.788349
87.425275,4.996370,8.455192,0.679414,0.679414,0.788258
88.809111,2.289524,4.165885,0.546256,1.453744,0.788213
92.491899,4.254931,7.671543,0.739253,0.739253,0.788101
94.651344,5.715036,9.278183,0.721744,0.721744,0.788040
95.870634,2.586702,4.313514,0.583413,1.416587,0.788006
98.831194,3.011343,5.838520,0.913001,0.913001,0.787928
101.317851,3.297203,6.218663,0.983865,0.983865,0.787866
103.725538,4.271248,7.484850,0.833703,0.833703,0.787808
105.446623,3.440689,6.053801,0.999738,1.000262,0.787769
107.168611,2.068011,3.989783,0.616878,1.383122,0.787731
111.029536,9.908800,14.509877,0.359165,0.359165,0.787650
111.874659,3.886886,5.275795,0.513646,1.486354,0.787633
114.320221,3.241648,5.951601,0.876126,0.876126,0.787585
116.226680,2.485702,4.756269,0.852895,1.147105,0.787549
118.790783,2.916275,5.618201,0.997037,1.002963,0.787503
121.370125,4.800310,8.168505,0.758752,0.758752,0.787458
122.946829,4.386944,7.160961,0.907605,0.907605,0.787432
124.256819,2.270740,3.680365,0.573318,1.426682,0.787410
127.516684,3.617728,6.648388,0.774921,0.774921,0.787359
129.578704,4.287396,7.329223,0.845132,0.845132,0.787328
131.087689,2.715970,4.785538,0.770080,1.229920,0.787305
133.497737,4.648893,7.734552,0.686200,0.686200,0.787271
134.756510,2.305746,3.711607,0.545123,1.454877,0.787253
138.116042,4.688925,8.057919,0.650709,0.650709,0.787208
139.736209,4.382991,7.204964,0.922642,0.922642,0.787187
141.123707,2.791841,4.603573,0.822066,1.177934,0.787170
143.111846,2.111989,4.039552,0.815266,1.184734,0.787145
146.000982,4.537446,7.738234,0.659619,0.659619,0.787111
