# C-282 ζ(s) 켤레합 포함 A_L 재측정 — B-50 검증
# T_MAX=2000.0, CENTER=0.5, TRIM=40%
# n_all=1517, n_valid=910
# NEW: 전체 영점 + 켤레합 (C-270 방식)
# OLD: ±300 이웃, 같은편만 (C-278 방식)

## 핵심 결과
ρ_S(A_bare_old × gap_min  [C-278]) = -0.928669  p=0.0000e+00
ρ_S(A_L_old    × gap_min  [C-278]) = -0.840553  p=5.9254e-244
ρ_S(A_L_new    × gap_min  [C-282]) = -0.799613  p=2.6287e-203
ρ_S(A_Λ_new    × gap_min  [C-282]) = -0.899825  p=0.0000e+00
ρ_S(A_L_new    × gap_right[C-282]) = -0.164520  p=6.0327e-07
ρ_S(A_Λ_new    × gap_right[C-282]) = -0.455323  p=8.9803e-48

GUE_ref = -0.857
C-270_ref_A_L = -0.800
C-270_ref_A_Lambda = -0.900

## 보조 통계
2H1/A_L_new_mean  = 0.842124
2H1/A_bare_old_mean = 0.899098
mean_A_L_new      = 8.7560
mean_A_Lambda_new = 8.3713
mean_A_bare_old   = 8.0753
mean_A_L_old      = 8.7848
mean_S1_conj      = 0.752959

## 개별 데이터
t,A_bare_old,A_L_old,A_L_new,A_Lambda_new,gap_min_gue,gap_right_gue,S1_conj,H1_conj,sm_im,im_gamma_S
547.931613,4.851725,4.667025,4.813974,4.697770,0.654755,1.113625,1.056982,0.000870,0.785854,0.785854
549.497568,3.182569,3.958376,3.197901,4.041170,1.047793,1.047793,1.055621,0.000868,0.785853,0.785853
550.970010,4.026185,5.199046,4.062508,5.301439,0.768678,0.768678,1.054345,0.000865,0.785852,0.785852
552.049572,3.861215,3.744676,3.830145,3.776760,0.769015,1.221947,1.053412,0.000864,0.785851,0.785851
553.764972,2.450546,3.116003,2.459423,3.187534,1.222794,1.444947,1.051933,0.000861,0.785850,0.785850
555.792021,4.943476,7.288114,5.038552,7.446541,0.790075,0.790075,1.050192,0.000857,0.785848,0.785848
556.899476,8.499318,10.671141,8.581818,10.814152,0.474762,0.474762,1.049243,0.000856,0.785847,0.785847
557.564659,8.245850,7.018642,8.168365,6.997141,0.474888,1.250489,1.048674,0.000854,0.785847,0.785847
559.316237,4.556743,5.891113,4.595140,5.985116,0.660532,0.660532,1.047180,0.000852,0.785845,0.785845
560.240807,4.796154,4.017498,4.743288,4.016678,0.660775,1.656923,1.046394,0.000850,0.785844,0.785844
562.559208,3.103994,4.766582,3.155594,4.872008,1.145741,1.145741,1.044427,0.000846,0.785843,0.785843
